-245.49 -25.142 72.047
-226.62 -1.1861 82.068
-251.6 -3.598 72.259
-227.83 -47.653 71.662
-233.35 -32.965 77.121
-237.93 -51.142 59.17
-238.95 -40.988 66.645
-262.47 -31.003 52.37
-258.22 2.8612 61.887
-259.97 -19.858 63.164
-238.71 -7.0996 83.896
-241.99 4.6408 73.683
-243.1 15.08 64.677
-230.31 11.408 74.973
-200.77 4.2174 82.004
-227.81 -17.304 88.342
-212.35 -11.895 89.308
-222.63 -32.706 84.67
-252.85 -30.639 61.82
-263.6 -46.535 35.498
-215.76 11.877 76.305
-192.56 -16.67 93.277
-202.87 -26.272 93.338
-211.13 -39.83 88.018
-211.98 -50.389 81.051
-255.9 -46.703 45.611
-266 8.7058 50.75
-253.07 17.038 56.816
-259.4 24.424 46.936
-226.75 23.469 68.358
-223.45 36.539 62.072
-208.7 21.624 71.469
-193.87 16.246 75.403
-187.64 7.0219 81.114
-169.04 -16.966 96.001
-181.64 -36.719 98.04
-199.08 -41.721 94.903
-204.38 -62.264 76.847
-226.79 -59.467 62.689
-239.1 -62.453 48.286
-255.28 -60.047 35.198
-267.13 -55.25 26.076
-281.46 -37.697 17.779
-273.34 -25.494 45.611
-277.67 -26.762 34.048
-284.01 -14.153 36.91
-287.54 -23.546 16.931
-273.25 -6.4326 52.839
-277.92 -0.58394 34.84
-225.03 50.541 53.473
-245.06 39.077 46.843
-238.11 30.612 56.056
-196.47 33.262 67.437
-207.79 38.539 64.955
-182.44 47.064 64.384
-185.89 -5.2387 88.354
-158.34 -8.642 91.961
-188.12 -51.146 96.498
-173.85 -47.392 100.75
-168.9 -69.563 95.104
-199.36 -53.706 87.384
-192.94 -86.842 67.331
-217.59 -69.301 63.038
-204.05 -78.814 66.077
-227.8 -70.342 52.321
-228.74 -80.574 43.716
-222.5 -92.188 33.308
-240.33 -82.978 31.672
-282.98 -55.462 7.6042
-289.11 -36.867 5.2453
-292.8 -15.254 6.9673
-279.11 4.1377 23.021
-269.71 16.018 36.75
-274.16 21.124 11.915
-265.98 28.885 26.338
-257.74 37.339 38.817
-238.14 57.753 40.451
-214 50.289 60.995
-223.32 62.256 48.388
-180.01 30.363 69.645
-169.98 22.511 73.041
-165.86 8.6835 81.372
-169.66 -3.0588 88.01
-149.98 5.8505 83.991
-152.88 -28.152 99.696
-167.74 -29.258 98.474
-159.33 -41.795 101.48
-162.36 -62.915 103.6
-170.21 -85.663 81.554
-184.36 -80.496 76.61
-185.71 -65.854 86.654
-194.56 -70.509 77.192
-182.12 -94.54 61.957
-198.82 -94.161 51.751
-214.7 -87.522 49.588
-217.13 -105.61 22.052
-235.06 -92.209 22.545
-251.68 -75.261 25.732
-270.06 -64.327 14.347
-284.47 1.8583 9.1505
-286.6 -10.33 22.115
-270 32.17 2.6797
-257.61 42.877 26.565
-201.05 51.6 61.679
-191.81 59.878 59.804
-178.82 64.674 58.477
-152.02 31.64 75.105
-162.8 44.232 66.591
-157.03 17.872 77.898
-134.12 -14.449 96.826
-146.09 -11.752 94.523
-150.11 -53.572 104.44
-143.9 -75.799 105.56
-156.48 -77.107 96.797
-150.71 -96.406 78.227
-153.63 -89.734 88.29
-199.63 -109.32 28.404
-209.43 -99.701 32.951
-228.63 -100.36 15.426
-244.04 -96.373 0.35643
-250.52 -83.909 15.814
-253.7 -87.569 3.7001
-263.18 -75.622 8.6305
-282.97 -62.669 -19.669
-272.32 -72.883 -9.9268
-286.64 -47.038 -1.5994
-290.76 -47.294 -22.189
-292.04 -22.967 -6.2462
-280.1 13.057 -2.9563
-278.08 17.672 -21.025
-269.23 33.899 -14.153
